scenario,timestamp,value
balanced,1760807992,0.95
balanced,1760808002,0.95
balanced,1760808012,0.95
balanced,1760808022,0.95
balanced,1760808032,0.9500000000000001
balanced,1760808042,0.95
balanced,1760808052,0.95
balanced,1760808062,0.95
balanced,1760808072,0.95
balanced,1760808082,0.95
balanced,1760808092,0.95
balanced,1760808102,0.95
balanced,1760808112,0.95
balanced,1760808122,0.95
balanced,1760808132,0.95
balanced,1760808142,0.95
balanced,1760808152,0.95
balanced,1760808162,0.95
balanced,1760808172,0.95
balanced,1760808182,0.95
balanced,1760808192,0.95
balanced,1760808202,0.95
balanced,1760808212,0.95
balanced,1760808222,0.95
balanced,1760808232,0.95
balanced,1760808242,0.95
balanced,1760808252,0.95
balanced,1760808262,0.95
balanced,1760808272,0.95
balanced,1760808282,0.95
moderate,1760808608,0.9500000000000001
moderate,1760808618,0.95
moderate,1760808628,0.9499999999999998
moderate,1760808638,0.95
moderate,1760808648,0.95
moderate,1760808658,0.95
moderate,1760808668,0.95
moderate,1760808678,0.95
moderate,1760808688,0.95
moderate,1760808698,0.95
moderate,1760808708,0.95
moderate,1760808718,0.95
moderate,1760808728,0.95
moderate,1760808738,0.95
moderate,1760808748,0.95
moderate,1760808758,0.95
moderate,1760808768,0.95
moderate,1760808778,0.95
moderate,1760808788,0.95
moderate,1760808798,0.95
moderate,1760808808,0.95
moderate,1760808818,0.95
moderate,1760808828,0.95
moderate,1760808838,0.95
moderate,1760808848,0.95
moderate,1760808858,0.95
moderate,1760808868,0.95
moderate,1760808878,0.95
moderate,1760808888,0.95
moderate,1760808898,0.95
moderate,1760808908,0.95
moderate,1760808918,0.95
moderate,1760808928,0.95
moderate,1760808938,0.95
moderate,1760808948,0.95
moderate,1760808958,0.95
moderate,1760808968,0.95
moderate,1760808978,0.9500000000000001
moderate,1760808988,0.95
moderate,1760808998,0.95
moderate,1760809008,0.95
moderate,1760809018,0.95
moderate,1760809028,0.95
moderate,1760809038,0.95
moderate,1760809048,0.95
moderate,1760809058,0.95
moderate,1760809068,0.95
moderate,1760809078,0.95
moderate,1760809088,0.95
moderate,1760809098,0.9500000000000001
moderate,1760809108,0.95
moderate,1760809118,0.95
moderate,1760809128,0.95
moderate,1760809138,0.95
moderate,1760809148,0.95
moderate,1760809158,0.95
moderate,1760809168,0.95
moderate,1760809178,0.95
moderate,1760809188,0.95
moderate,1760809198,0.95
short,1760809525,0.95
short,1760809535,0.95
short,1760809545,0.95
short,1760809555,0.95
short,1760809565,0.95
short,1760809575,0.95
short,1760809585,0.95
short,1760809595,0.95
short,1760809605,0.95
short,1760809615,0.95
short,1760809625,0.95
short,1760809635,0.95
aggressive,1760809961,0.95
aggressive,1760809971,0.95
aggressive,1760809981,0.95
aggressive,1760809991,0.95
aggressive,1760810001,0.9500000000000001
aggressive,1760810011,0.95
very_aggressive,1760810337,0.9499999999999998
very_aggressive,1760810347,0.95
very_aggressive,1760810357,0.95
