scenario,timestamp,value
balanced,1760807992,4.75
balanced,1760808002,4.75
balanced,1760808012,4.75
balanced,1760808022,4.75
balanced,1760808032,4.75
balanced,1760808042,4.75
balanced,1760808052,4.75
balanced,1760808062,4.75
balanced,1760808072,4.75
balanced,1760808082,4.75
balanced,1760808092,4.75
balanced,1760808102,4.75
balanced,1760808112,4.75
balanced,1760808122,4.75
balanced,1760808132,4.75
balanced,1760808142,4.75
balanced,1760808152,4.75
balanced,1760808162,4.75
balanced,1760808172,4.75
balanced,1760808182,4.75
balanced,1760808192,4.75
balanced,1760808202,4.75
balanced,1760808212,4.75
balanced,1760808222,4.75
balanced,1760808232,4.75
balanced,1760808242,4.75
balanced,1760808252,4.75
balanced,1760808262,4.75
balanced,1760808272,4.75
balanced,1760808282,4.75
moderate,1760808608,4.75
moderate,1760808618,4.75
moderate,1760808628,4.75
moderate,1760808638,4.75
moderate,1760808648,4.749999999999999
moderate,1760808658,4.75
moderate,1760808668,4.75
moderate,1760808678,4.75
moderate,1760808688,4.75
moderate,1760808698,4.75
moderate,1760808708,4.75
moderate,1760808718,4.75
moderate,1760808728,4.75
moderate,1760808738,4.75
moderate,1760808748,4.75
moderate,1760808758,4.75
moderate,1760808768,4.75
moderate,1760808778,4.75
moderate,1760808788,4.75
moderate,1760808798,4.75
moderate,1760808808,4.75
moderate,1760808818,4.75
moderate,1760808828,4.75
moderate,1760808838,4.75
moderate,1760808848,4.75
moderate,1760808858,4.75
moderate,1760808868,4.75
moderate,1760808878,4.75
moderate,1760808888,4.75
moderate,1760808898,4.75
moderate,1760808908,4.75
moderate,1760808918,4.75
moderate,1760808928,4.75
moderate,1760808938,4.75
moderate,1760808948,4.75
moderate,1760808958,4.75
moderate,1760808968,4.75
moderate,1760808978,4.75
moderate,1760808988,4.75
moderate,1760808998,4.75
moderate,1760809008,4.75
moderate,1760809018,4.75
moderate,1760809028,4.75
moderate,1760809038,4.75
moderate,1760809048,4.75
moderate,1760809058,4.75
moderate,1760809068,4.75
moderate,1760809078,4.75
moderate,1760809088,4.75
moderate,1760809098,4.75
moderate,1760809108,4.75
moderate,1760809118,4.75
moderate,1760809128,4.75
moderate,1760809138,4.75
moderate,1760809148,4.75
moderate,1760809158,4.75
moderate,1760809168,4.75
moderate,1760809178,4.75
moderate,1760809188,4.75
moderate,1760809198,4.75
short,1760809525,4.75
short,1760809535,4.75
short,1760809545,4.75
short,1760809555,4.75
short,1760809565,4.75
short,1760809575,4.75
short,1760809585,4.75
short,1760809595,4.75
short,1760809605,4.75
short,1760809615,4.75
short,1760809625,4.75
short,1760809635,4.75
aggressive,1760809961,4.75
aggressive,1760809971,4.75
aggressive,1760809981,4.75
aggressive,1760809991,4.75
aggressive,1760810001,4.749999999999999
aggressive,1760810011,4.75
very_aggressive,1760810337,4.75
very_aggressive,1760810347,4.75
very_aggressive,1760810357,4.75
